Entity,Code,Date,"Daily new confirmed cases of COVID-19 (rolling 3-day average, right-aligned)",Notes
Turkey,TUR,"Jun 6, 2020",928.33333,
Turkey,TUR,"Jun 7, 2020",932,
Turkey,TUR,"Jun 8, 2020",907.33333,
Turkey,TUR,"Jun 9, 2020",927,
Turkey,TUR,"Jun 10, 2020",965.33333,
Turkey,TUR,"Jun 11, 2020",968,
Turkey,TUR,"Jun 12, 2020",967.33333,
Turkey,TUR,"Jun 13, 2020",1034.66667,
Turkey,TUR,"Jun 14, 2020",1213.66667,
Turkey,TUR,"Jun 15, 2020",1405.33333,
Turkey,TUR,"Jun 16, 2020",1537.66667,
Turkey,TUR,"Jun 17, 2020",1540.33333,
Turkey,TUR,"Jun 18, 2020",1496,
Turkey,TUR,"Jun 19, 2020",1400,
Turkey,TUR,"Jun 20, 2020",1315.66667,
Turkey,TUR,"Jun 21, 2020",1255.33333,
Turkey,TUR,"Jun 22, 2020",1218,
Turkey,TUR,"Jun 23, 2020",1217.33333,
Turkey,TUR,"Jun 24, 2020",1224,
Turkey,TUR,"Jun 25, 2020",1324,
Turkey,TUR,"Jun 26, 2020",1406,
Turkey,TUR,"Jun 27, 2020",1448.66667,
Turkey,TUR,"Jun 28, 2020",1408.66667,
Turkey,TUR,"Jun 29, 2020",1374.66667,
Turkey,TUR,"Jun 30, 2020",1367.33333,
Turkey,TUR,"Jul 1, 2020",1341,
Turkey,TUR,"Jul 2, 2020",1286.33333,
Turkey,TUR,"Jul 3, 2020",1223.66667,
Turkey,TUR,"Jul 4, 2020",1183.33333,
Turkey,TUR,"Jul 5, 2020",1170.66667,
Turkey,TUR,"Jul 6, 2020",1158,
Turkey,TUR,"Jul 7, 2020",1129.33333,
Turks and Caicos Islands,TCA,"Mar 25, 2020",1,
Turks and Caicos Islands,TCA,"Mar 26, 2020",0.5,
Turks and Caicos Islands,TCA,"Mar 27, 2020",0.66667,
Turks and Caicos Islands,TCA,"Mar 28, 2020",0.33333,
Turks and Caicos Islands,TCA,"Mar 29, 2020",1.33333,
Turks and Caicos Islands,TCA,"Mar 30, 2020",1,
Turks and Caicos Islands,TCA,"Mar 31, 2020",1,
Turks and Caicos Islands,TCA,"Apr 1, 2020",0,
Turks and Caicos Islands,TCA,"Apr 2, 2020",0,
Turks and Caicos Islands,TCA,"Apr 3, 2020",0,
Turks and Caicos Islands,TCA,"Apr 4, 2020",0,
Turks and Caicos Islands,TCA,"Apr 5, 2020",0,
Turks and Caicos Islands,TCA,"Apr 6, 2020",0,
Turks and Caicos Islands,TCA,"Apr 7, 2020",1,
Turks and Caicos Islands,TCA,"Apr 8, 2020",1,
Turks and Caicos Islands,TCA,"Apr 9, 2020",1,
Turks and Caicos Islands,TCA,"Apr 10, 2020",0,
Turks and Caicos Islands,TCA,"Apr 11, 2020",0.33333,
Turks and Caicos Islands,TCA,"Apr 12, 2020",0.33333,
Turks and Caicos Islands,TCA,"Apr 13, 2020",0.33333,
Turks and Caicos Islands,TCA,"Apr 14, 2020",0.33333,
Turks and Caicos Islands,TCA,"Apr 15, 2020",0.33333,
Turks and Caicos Islands,TCA,"Apr 16, 2020",0.66667,
Turks and Caicos Islands,TCA,"Apr 17, 2020",0.33333,
Turks and Caicos Islands,TCA,"Apr 18, 2020",0.33333,
Turks and Caicos Islands,TCA,"Apr 19, 2020",0,
Turks and Caicos Islands,TCA,"Apr 20, 2020",0,
Turks and Caicos Islands,TCA,"Apr 21, 2020",0,
Turks and Caicos Islands,TCA,"Apr 22, 2020",0,
